,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
8221,7755654000.0,1694268500.0,97696104000.0,25.194902,0.41644898,99.64339,55.571045,107150700000.0,0.7
8222,2086725000.0,172809570.0,23674210000.0,13.478107,0.07442661,64.51921,37.616837,25933744000.0,0.7
8223,5251490300.0,134006000.0,33519596000.0,24.424055,0.10959931,59.631836,33.975697,38905094000.0,0.7
8224,8391267300.0,1081423600.0,94602010000.0,33.53071,0.20158082,88.814186,50.500755,104077940000.0,0.7
8225,8799030000.0,196738110.0,67447110000.0,37.394737,0.105103455,66.775734,39.896797,76444510000.0,0.7
8226,9315493000.0,1206629200.0,95987300000.0,26.170876,0.26443478,99.20215,53.93405,106513244000.0,0.7
8227,9952017000.0,876213950.0,93116900000.0,26.477564,0.28703845,94.25369,53.32586,103949200000.0,0.7
8228,8599656000.0,487161180.0,84988486000.0,28.493685,0.16370657,85.509735,50.850525,94078484000.0,0.7
8229,9534961000.0,1088440200.0,91037380000.0,29.52315,0.3908458,88.08458,49.80078,101665006000.0,0.7
8230,9587732000.0,445214300.0,92054680000.0,33.503944,0.13244256,81.497894,52.422974,102090330000.0,0.7
8231,13722878000.0,1883994100.0,69540240000.0,20.112764,0.53063834,95.64928,52.899628,85150876000.0,0.7
8232,10002526000.0,465190800.0,84049680000.0,35.51671,0.13104223,76.44967,44.118347,94519394000.0,0.7
8233,11420018000.0,1203451300.0,82579096000.0,26.338907,0.39518532,88.58289,51.380417,95205640000.0,0.7
8234,11213304000.0,838929340.0,87102040000.0,28.527052,0.41902137,88.57248,50.14612,99158204000.0,0.7
8235,9380249000.0,1975606900.0,93725830000.0,21.044912,0.3198905,108.3673,57.764797,105087670000.0,0.7
8236,7092198000.0,233144800.0,55044866000.0,27.961613,0.09766826,69.71274,39.17022,62371602000.0,0.7
8237,8717742000.0,1312965800.0,53244850000.0,19.689627,0.7635502,88.165146,46.29129,63276950000.0,0.7
8238,9989861000.0,709323400.0,87407410000.0,32.55308,0.36270005,81.56632,46.927883,98108890000.0,0.7
8239,9575720000.0,890580350.0,90378990000.0,28.41862,0.26063496,88.46067,51.95155,100848150000.0,0.7
8240,9259322000.0,484590820.0,88297650000.0,32.624172,0.21574262,83.47535,48.99201,98043896000.0,0.7
8241,9120954000.0,869493200.0,95655610000.0,30.094337,0.42802772,87.616875,51.34277,105649594000.0,0.7
8242,9784362000.0,1730062300.0,88652490000.0,26.227835,0.45125687,94.54321,51.920002,100171650000.0,0.7
8243,10981217000.0,297598050.0,76285630000.0,37.288414,0.15203908,73.00327,42.65268,87566260000.0,0.7
8244,9341780000.0,947030600.0,94646480000.0,27.370039,0.24062964,91.45568,54.114506,104939800000.0,0.7
8245,9280931000.0,1362329300.0,93000740000.0,27.156258,0.42426237,93.402084,52.241776,103648970000.0,0.7
8246,10240755000.0,296691100.0,68828770000.0,33.920444,0.16472091,72.90051,40.440674,79368060000.0,0.7
8247,10826670000.0,877897660.0,89665700000.0,25.91814,0.4722823,93.96589,52.04388,101373430000.0,0.7
8248,11247493000.0,506346600.0,74734730000.0,27.141026,0.14978166,83.06935,48.599045,86491095000.0,0.7
8249,10844427000.0,748832400.0,87353420000.0,27.997566,0.39118323,87.41603,49.484158,98949110000.0,0.7
8250,9733560000.0,1719358800.0,86572065000.0,22.255526,0.62985086,101.266945,58.18968,98028450000.0,0.7
8251,11603591000.0,643808400.0,75170324000.0,26.300304,0.1932705,85.52354,52.50592,87419350000.0,0.7
8252,7594893000.0,1161794700.0,99967560000.0,28.497082,0.4393407,92.51792,53.458477,108729450000.0,0.7
8253,10350341000.0,421488860.0,92284270000.0,25.34542,0.2568367,94.2498,57.10764,103058735000.0,0.7
8254,8940962000.0,684870200.0,93714940000.0,28.554077,0.19444957,89.02438,50.633694,103344090000.0,0.7
8255,7362190300.0,303274750.0,44044694000.0,23.177462,0.11704115,70.6271,39.51397,51710160000.0,0.7
8256,7375345700.0,817700000.0,88784070000.0,28.349573,0.21236354,88.841835,51.07754,96981210000.0,0.7
8257,10855819000.0,1309695000.0,85868300000.0,27.90276,0.46040586,92.0087,50.50467,98038465000.0,0.7
8258,10657921000.0,524990430.0,73318580000.0,24.698605,0.12668861,86.562386,48.911198,84503585000.0,0.7
8259,8677747000.0,1508773500.0,94816630000.0,27.06216,0.6204467,95.13821,52.863228,105008200000.0,0.7
