,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
5779,5105826000.0,352294820.0,70440930000.0,20.319975,0.29285192,89.67134,57.08962,75900550000.0,2.0
5780,5938198000.0,203006930.0,60665872000.0,18.214823,0.25885606,88.908714,56.227196,66808300000.0,2.0
5781,6175800300.0,700814700.0,62955934000.0,16.066809,0.6648561,98.4238,59.521835,69833970000.0,2.0
5782,6302159000.0,249152770.0,60985310000.0,17.36262,0.2776968,91.93093,58.936134,67537854000.0,2.0
5783,5811432000.0,289403600.0,62762630000.0,17.45415,0.29592574,92.25352,60.21213,68864795000.0,2.0
5784,5014391300.0,140061810.0,49917080000.0,20.620066,0.13754354,76.67086,49.044765,55072760000.0,2.0
5785,7671201000.0,402885630.0,50026430000.0,16.931168,0.30215457,86.12188,50.81614,58100515000.0,2.0
5786,8730239000.0,1396109200.0,48776360000.0,13.708573,0.8941014,100.1273,55.3123,58902704000.0,2.0
5787,8227027500.0,531588400.0,50804605000.0,16.800892,0.5049239,88.47824,51.042366,59563217000.0,2.0
5788,6559265000.0,199067950.0,48800862000.0,16.82816,0.25501648,84.37164,54.77122,55559193000.0,2.0
5789,5267997700.0,161069300.0,38054340000.0,19.846058,0.14873032,68.69729,43.381565,43483402000.0,2.0
5790,8510831600.0,523540640.0,49925247000.0,14.687592,0.47013587,92.99482,53.719883,58959622000.0,2.0
5791,6007859700.0,671658750.0,65655270000.0,16.588715,0.42121315,96.90309,57.143623,72337015000.0,2.0
5792,6667752400.0,506974340.0,62417785000.0,15.83266,0.3325899,97.34937,57.509388,69594006000.0,2.0
5793,6829716500.0,540168200.0,55252230000.0,15.968717,0.6267391,92.2023,55.34445,62623367000.0,2.0
5794,6756425000.0,546797760.0,60738930000.0,16.325056,0.4468551,96.27452,56.89966,68042150000.0,2.0
5795,3992924400.0,250847070.0,46057968000.0,14.643937,0.28301132,86.61715,51.75376,50302964000.0,2.0
5796,6231217000.0,226570370.0,45204922000.0,16.23369,0.26494843,84.291245,52.190166,51662713000.0,2.0
5797,6381437000.0,668905000.0,57380753000.0,15.054517,0.531735,97.83835,55.882626,64432720000.0,2.0
5798,7934638000.0,628655360.0,53558395000.0,16.169573,0.5591379,91.41735,53.12955,62121690000.0,2.0
5799,6475605000.0,397806620.0,64529977000.0,18.968576,0.39163432,90.06184,54.69683,71404724000.0,2.0
5800,5561485000.0,233623840.0,53856506000.0,19.976906,0.20489039,80.251335,49.977768,59652880000.0,2.0
5801,5409563600.0,228535440.0,38436848000.0,16.46912,0.20338501,76.23305,45.64287,44076167000.0,2.0
5802,7123596000.0,441752160.0,60307870000.0,17.530933,0.40610132,92.02301,54.737453,67873220000.0,2.0
5803,5966861000.0,290958370.0,55789007000.0,20.557768,0.2918826,81.15191,52.36762,62048050000.0,2.0
5804,6142220300.0,1107653400.0,61194490000.0,14.265573,0.6715253,102.086235,59.63615,68444365000.0,2.0
5805,7977027600.0,643343200.0,55710966000.0,15.442151,0.5433805,94.82841,56.07245,64331338000.0,2.0
5806,5160783000.0,207152420.0,49525498000.0,21.936234,0.24844275,77.885925,46.676487,54894650000.0,2.0
5807,7872700000.0,584722400.0,48897057000.0,15.308117,0.648473,90.06872,50.92357,57354478000.0,2.0
5808,7545028000.0,223584180.0,37897798000.0,17.909697,0.25927544,74.3032,44.27831,45666406000.0,2.0
5809,6841588000.0,634195200.0,56363905000.0,16.283056,0.48031256,92.722374,54.999527,63839690000.0,2.0
5810,7059605500.0,1072519940.0,57050878000.0,13.662402,0.8617767,101.65351,57.69296,65183010000.0,2.0
5811,7323057000.0,545725060.0,57610350000.0,16.175354,0.45495406,93.63231,56.61008,65479130000.0,2.0
5812,5012379600.0,248988370.0,57907094000.0,16.402624,0.24874468,91.04574,59.94221,63169700000.0,2.0
5813,5985725400.0,169243860.0,44138623000.0,20.409935,0.1467933,73.51273,45.35152,50294825000.0,2.0
5814,6181734000.0,344470000.0,57315865000.0,18.14988,0.29867792,87.09832,52.421547,63842066000.0,2.0
5815,6231604700.0,255232740.0,56545860000.0,18.924515,0.20584252,84.74187,52.319347,63033917000.0,2.0
5816,8543679500.0,559601340.0,44155410000.0,15.3077135,0.40280232,86.70925,49.92276,53258690000.0,2.0
