,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
1517,7838010400.0,1036611300.0,84194435000.0,47.53576,0.09667267,69.07377,38.839256,93072310000.0,0.0
1518,8330024000.0,545416640.0,96532250000.0,39.633587,0.072098665,76.812126,43.099537,105410530000.0,0.0
1519,5638651400.0,1515869000.0,70025300000.0,32.491776,0.15982439,74.19031,41.606777,77183705000.0,0.0
1520,7368594000.0,1470001900.0,92275204000.0,29.52576,0.1251653,91.31951,47.410686,101119170000.0,0.0
1521,6805424000.0,192111820.0,95334350000.0,55.55359,0.05701637,64.27087,39.951157,102331890000.0,0.0
1522,9208996000.0,708704450.0,89388474000.0,37.415913,0.13706075,80.17638,42.77239,99310890000.0,0.0
1523,9068333000.0,1060286500.0,82638090000.0,36.99037,0.26770157,78.03067,41.872803,92773425000.0,0.0
1524,7405437000.0,1123156400.0,97225120000.0,35.41308,0.18676965,84.18602,44.59598,105758950000.0,0.0
1525,5679694000.0,1499098500.0,98243780000.0,36.245605,0.12206813,91.61719,46.19332,105429460000.0,0.0
1526,6173240000.0,1817969000.0,99084120000.0,32.5326,0.21834892,91.50158,47.46461,107084370000.0,0.0
1527,7955376600.0,739651700.0,89506440000.0,41.905304,0.14456975,76.65062,41.572525,98206440000.0,0.0
1528,7705874000.0,1060198400.0,94839320000.0,35.59986,0.13960156,83.67904,44.956627,103609850000.0,0.0
1529,7619373600.0,1233670300.0,94219050000.0,35.03324,0.27093083,84.61658,45.183197,103078340000.0,0.0
1530,8689035000.0,1214337500.0,87828950000.0,38.02097,0.14404699,75.38124,41.68887,97737140000.0,0.0
1531,7927353300.0,872243460.0,94680960000.0,37.443314,0.27074704,83.00577,44.017605,103485380000.0,0.0
1532,8706362000.0,315040320.0,84929050000.0,52.99537,0.0715848,69.3418,37.402863,93953640000.0,0.0
1533,5998736400.0,201506100.0,42200216000.0,32.369873,0.042451795,65.33479,34.004887,48400458000.0,0.0
